player,matches,runs,balls,strike_rate,wickets,balls_bowled,runs_conceded,economy,recent_form,performance_score
AG Murtaza,3.0,0.0012478163214374844,14.0,0.2380952380952381,0.056338028169014086,269.0,322.0,0.19950433705080545,0.23809523809523808,0.06599938047824752
AG Paunikar,5.0,0.006114299975043674,61.0,0.2677595628415301,0.0,0.0,0.0,0.0,0.26775956284153,0.0824678738437243
AJ Finch,90.0,0.26104317444472175,1696.0,0.4111635220125786,0.004694835680751174,44.0,67.0,0.2537878787878788,0.37555555555555553,0.18872869037797493
AJ Hosein,1.0,0.001996506114299975,11.0,0.4848484848484849,0.004694835680751174,24.0,41.0,0.2847222222222222,0.48484848484848486,0.11885480929251604
AJ Turner,6.0,0.002994759171449963,31.0,0.2580645161290323,0.0,0.0,0.0,0.0,0.25806451612903225,0.07846752054871718
AJ Tye,13.0,0.01135512852508111,79.0,0.3839662447257384,0.22535211267605634,714.0,1005.0,0.234593837535014,0.38396624472573837,0.15204281281701262
AK Markram,42.0,0.12415772398302971,787.0,0.42143159678102504,0.009389671361502348,123.0,173.0,0.23441734417344173,0.37999999999999995,0.14671878601234806
AL Menaria,23.0,0.05003743448964313,367.0,0.36421435059037244,0.014084507042253521,113.0,144.0,0.21238938053097342,0.3566666666666667,0.10868221175976758
AM Nayar,50.0,0.08385325680059896,588.0,0.38095238095238093,0.04225352112676056,239.0,323.0,0.22524407252440726,0.3111111111111111,0.1281812637031098
AM Rahane,171.0,0.5792363364112803,3858.0,0.40107136685674794,0.004694835680751174,6.0,5.0,0.1388888888888889,0.4444444444444444,0.3125076017116562
AM Salvi,0.0,0.0,0.0,0.0,0.03286384976525822,156.0,205.0,0.21901709401709402,0.0,-0.013685746960394849
AN Ahmed,6.0,0.004492138757174944,27.0,0.4444444444444444,0.07042253521126761,362.0,515.0,0.2371086556169429,0.4444444444444444,0.12880035013946717
AN Ghosh,2.0,0.0008734714250062392,8.0,0.2916666666666667,0.0,0.0,0.0,0.0,0.29166666666666663,0.0878057149987522
AP Dole,2.0,0.004242575492887447,23.0,0.49275362318840576,0.023474178403755867,73.0,114.0,0.2602739726027397,0.49275362318840576,0.1291521357196973
AP Majumdar,4.0,0.010856001996506114,77.0,0.37662337662337664,0.0,0.0,0.0,0.0,0.37662337662337664,0.11678661368579013
AP Tare,27.0,0.04230097329673072,285.0,0.39649122807017545,0.0,0.0,0.0,0.0,0.3964912280701754,0.13375270907490838
AR Bawne,1.0,0.0014973795857249814,12.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.3333333333333333,0.10052408285500375
AR Patel,112.0,0.2062640379336162,1318.0,0.41805766312594844,0.6150234741784038,3152.0,3824.0,0.20219966159052452,0.41222222222222216,0.33085384255491235
AS Joseph,5.0,0.003369104067881208,32.0,0.28125,0.10328638497652583,454.0,707.0,0.2595447870778267,0.28125,0.0854213039601072
AS Rajpoot,7.0,0.0032443224357374596,41.0,0.21138211382113822,0.11267605633802817,567.0,844.0,0.24808935920047026,0.2113821138211382,0.06791022516330959
AS Raut,16.0,0.024207636635887198,172.0,0.3759689922480621,0.0,30.0,45.0,0.25,0.375968992248062,0.09626337049697914
AS Roy,6.0,0.0032443224357374596,24.0,0.3611111111111111,0.028169014084507043,142.0,191.0,0.22417840375586853,0.36111111111111105,0.09409325933138135
AS Yadav,6.0,0.006114299975043674,40.0,0.4083333333333334,0.0,0.0,0.0,0.0,0.4083333333333333,0.12464000499126529
AT Carey,3.0,0.00399301222859995,29.0,0.367816091954023,0.0,0.0,0.0,0.0,0.367816091954023,0.11174238186621688
AT Rayudu,185.0,0.5425505365610183,3490.0,0.41528175740210127,0.0,0.0,0.0,0.0,0.4255555555555555,0.3149909049246595
AU Rashid,2.0,0.002745195907162466,17.0,0.43137254901960786,0.009389671361502348,60.0,91.0,0.25277777777777777,0.43137254901960786,0.10744222333598705
AUK Pathan,7.0,0.00486648365360619,26.0,0.5,0.0,41.0,63.0,0.2560975609756097,0.5,0.12609351318120118
Abdul Basith,1.0,0.00012478163214374845,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.3333333333333333,0.10004367357125031
Abdul Samad,39.0,0.07224856501123035,408.0,0.47303921568627455,0.009389671361502348,55.0,113.0,0.3424242424242424,0.4622222222222222,0.13476290638456173
Abdur Razzak,1.0,0.0,2.0,0.0,0.0,14.0,29.0,0.3452380952380953,0.0,-0.03452380952380953
Abhishek Sharma,61.0,0.1718243074619416,925.0,0.49621621621621614,0.051643192488262914,278.0,396.0,0.23741007194244604,0.6044444444444443,0.2035845748157769
Abishek Porel,16.0,0.04492138757174944,244.0,0.49180327868852464,0.0,0.0,0.0,0.0,0.4918032786885246,0.16326346925666968
Akash Deep,3.0,0.0023708510107312204,12.0,0.5277777777777778,0.03755868544600939,175.0,324.0,0.30857142857142855,0.5277777777777777,0.13769565969144873
Akash Madhwal,1.0,0.0004991265285749938,5.0,0.26666666666666666,0.10328638497652583,279.0,431.0,0.2574671445639188,0.26666666666666666,0.08024957607274083
Akash Singh,0.0,0.0,0.0,0.0,0.023474178403755867,141.0,227.0,0.26832151300236406,0.0,-0.020963606699297442
Aman Hakim Khan,10.0,0.014349887696531071,109.0,0.3516819571865443,0.0,6.0,13.0,0.3611111111111111,0.35168195718654427,0.07441593673863806
Anand Rajan,0.0,0.0,0.0,0.0,0.046948356807511735,162.0,206.0,0.2119341563786008,0.0,-0.009456326435982147
Anirudh Singh,4.0,0.007861242825056153,69.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.3043478260869565,0.0940557828148566
Ankit Sharma,10.0,0.010856001996506114,69.0,0.4202898550724638,0.056338028169014086,375.0,453.0,0.2013333333333333,0.42028985507246375,0.12383773092943645
Ankit Soni,3.0,0.0008734714250062392,9.0,0.2592592592592593,0.018779342723004695,112.0,145.0,0.21577380952380953,0.25925925925925924,0.061200947504900176
Anmolpreet Singh,9.0,0.017344646867981036,117.0,0.39601139601139607,0.0,0.0,0.0,0.0,0.396011396011396,0.12487404520721218
Anuj Rawat,21.0,0.039680559021712004,276.0,0.3840579710144928,0.0,0.0,0.0,0.0,0.38405797101449274,0.12910558696194704
Anureet Singh,8.0,0.004492138757174944,47.0,0.25531914893617025,0.09859154929577466,430.0,636.0,0.24651162790697675,0.2553191489361702,0.07816471777910829
Arjun Tendulkar,1.0,0.0016221612178687298,9.0,0.48148148148148145,0.018779342723004695,83.0,117.0,0.23493975903614459,0.48148148148148145,0.12621306064783522
Arshad Khan,6.0,0.011979036685799851,67.0,0.47761194029850745,0.028169014084507043,153.0,282.0,0.3071895424836601,0.4776119402985074,0.12379954420234293
Arshad Khan (2),1.0,0.0006239081607187422,4.0,0.4166666666666667,0.0,13.0,25.0,0.3205128205128205,0.41666666666666663,0.0931670858049695
