player,matches,runs,balls,strike_rate,wickets,balls_bowled,runs_conceded,economy,recent_form
Sandeep Sharma,25.0,54.0,73.0,73.97260273972603,153.0,2925.0,3758.0,7.708717948717949,0.7397260273972602
Sanvir Singh,5.0,25.0,22.0,113.63636363636364,0.0,0.0,0.0,0.0,1.1363636363636365
Saurav Chauhan,3.0,18.0,16.0,112.5,0.0,0.0,0.0,0.0,1.125
Shahbaz Ahmed,37.0,536.0,467.0,114.77516059957173,21.0,549.0,850.0,9.289617486338798,1.07
Shahid Afridi,9.0,81.0,46.0,176.08695652173913,9.0,185.0,237.0,7.686486486486487,1.7608695652173914
Shakib Al Hasan,52.0,795.0,665.0,119.54887218045114,71.0,1515.0,1864.0,7.3821782178217825,1.1033333333333333
Shashank Singh,19.0,423.0,272.0,155.51470588235296,1.0,19.0,25.0,7.894736842105264,1.5551470588235294
Shivam Mavi,11.0,51.0,58.0,87.93103448275862,33.0,687.0,958.0,8.366812227074236,0.8793103448275862
Shivam Sharma,2.0,5.0,3.0,166.66666666666669,4.0,114.0,165.0,8.68421052631579,1.6666666666666667
Shivam Singh,1.0,2.0,3.0,66.66666666666666,0.0,0.0,0.0,0.0,0.6666666666666666
Shoaib Ahmed,3.0,1.0,6.0,16.666666666666664,5.0,103.0,154.0,8.970873786407767,0.16666666666666666
Shoaib Akhtar,1.0,2.0,8.0,25.0,5.0,46.0,54.0,7.043478260869566,0.25
Shoaib Malik,5.0,52.0,49.0,106.12244897959184,2.0,58.0,87.0,9.0,1.0612244897959184
Shubman Gill,99.0,3216.0,2432.0,132.23684210526315,0.0,0.0,0.0,0.0,1.4633333333333334
Sikandar Raza,9.0,182.0,143.0,127.27272727272727,3.0,88.0,146.0,9.954545454545455,1.2727272727272727
